time,ns1:ele,ns2:hr,ns2:cad
00:13:44,162.6000061,177,54
00:13:48,162.8000031,178,45
00:13:52,163.3999939,181,49
00:13:56,164.1999969,182,44
00:14:00,165.1999969,180,45
00:14:04,165.1999969,180,45
00:14:08,165.3999939,181,38
00:14:12,165.3999939,181,38
00:14:16,160.6000061,178,0
00:14:20,158.3999939,175,0
00:14:24,156.1999969,172,0
00:14:28,153.6000061,169,0
00:14:32,152.6000061,167,0
00:14:36,151.8000031,166,0
00:14:40,150.8000031,164,32
00:14:44,149.6000061,164,32
00:14:48,149.0,163,32
00:14:52,148.6000061,165,33
00:14:56,148.1999969,165,37
00:15:00,148.1999969,165,37
00:15:04,148.1999969,163,39
00:15:08,148.3999939,160,0
00:15:12,148.6000061,158,0
00:15:16,148.8000031,155,35
00:15:20,149.6000061,151,35
00:15:24,149.8000031,151,35
00:15:28,150.0,148,46
00:15:32,150.0,151,42
00:15:36,150.0,150,43
00:15:40,150.0,151,51
00:15:44,150.1999969,155,53
00:15:48,150.1999969,156,54
00:15:52,150.1999969,157,54
00:15:56,150.3999939,160,54
00:16:00,150.3999939,160,55
00:16:04,150.3999939,162,55
00:16:08,150.3999939,165,47
00:16:12,150.3999939,168,63
00:16:16,149.0,168,0
00:16:20,148.0,165,0
00:16:24,147.3999939,162,0
00:16:28,146.6000061,159,0
00:16:32,145.8000031,156,44
00:16:36,145.8000031,154,41
00:16:40,146.6000061,151,41
00:16:44,146.6000061,152,33
00:16:48,146.6000061,150,43
00:16:52,146.6000061,129,0
00:16:56,146.6000061,126,0
00:17:00,146.6000061,125,51
00:17:04,146.1999969,129,45
00:17:08,146.0,130,39
00:17:12,146.0,127,42
00:17:16,146.0,126,41
00:17:20,146.0,126,0
00:17:24,146.0,129,74
00:17:28,145.0,127,74
00:17:32,144.3999939,125,0
00:17:36,145.1999969,129,33
00:17:40,145.3999939,130,40
00:17:44,145.8000031,133,48
00:17:48,146.6000061,136,47
00:17:52,147.0,139,40
00:17:56,147.3999939,142,35
00:18:00,148.0,144,35
00:18:04,148.3999939,147,35
00:18:08,148.3999939,149,37
00:18:12,148.6000061,152,37
00:18:16,148.8000031,156,52
00:18:20,148.6000061,159,33
00:18:24,148.8000031,162,40
00:18:28,149.6000061,165,50
00:18:32,149.6000061,166,42
00:18:36,148.8000031,163,0
00:18:40,148.3999939,160,0
00:18:44,148.0,157,0
00:18:48,147.3999939,153,0
00:18:52,147.8000031,150,0
00:18:56,148.0,149,0
00:19:00,148.0,146,33
00:19:04,147.8000031,149,35
00:19:08,147.6000061,150,35
00:19:12,147.6000061,153,35
00:19:16,147.8000031,151,35
00:19:20,147.8000031,152,45
00:19:24,148.8000031,149,47
00:19:28,150.8000031,146,30
00:19:32,152.1999969,147,38
00:19:36,153.3999939,146,40
00:19:40,154.1999969,149,48
00:19:44,154.8000031,152,45
00:19:48,154.8000031,152,44
00:19:52,154.8000031,152,38
00:19:56,155.0,154,46
00:20:00,155.8000031,157,47
00:20:04,157.6000061,160,47
00:20:08,159.3999939,163,48
00:20:12,160.0,165,48
00:20:16,160.6000061,168,49
00:20:20,161.8000031,171,45
00:20:24,162.1999969,172,49
00:20:28,163.3999939,176,53
00:20:32,164.1999969,179,55
00:20:36,165.1999969,182,54
00:20:40,165.1999969,182,64
00:20:44,165.1999969,182,64
00:20:48,165.0,179,47
00:20:52,164.6000061,180,46
00:20:56,159.8000031,177,0
00:21:00,158.0,174,0
00:21:04,154.6000061,171,0
00:21:08,152.6000061,170,0
00:21:12,151.6000061,166,0
00:21:16,150.6000061,164,41
00:21:20,149.6000061,165,41
00:21:24,149.0,165,40
00:21:28,148.1999969,162,0
00:21:32,148.6000061,158,0
00:21:36,148.1999969,153,0
00:21:40,148.8000031,149,0
00:21:44,149.8000031,152,39
00:21:48,149.8000031,155,39
00:21:52,150.0,158,40
00:21:56,150.0,161,35
00:22:00,150.1999969,164,39
00:22:04,150.3999939,167,37
00:22:08,150.3999939,171,37
00:22:12,150.3999939,175,59
00:22:16,150.3999939,178,61
00:22:20,148.3999939,176,0
00:22:24,147.3999939,173,0
00:22:28,146.1999969,171,35
00:22:32,146.0,169,0
00:22:36,146.3999939,166,0
00:22:40,146.6000061,163,33
00:22:44,146.8000031,161,33
00:22:48,147.1999969,160,33
00:22:52,147.6000061,157,41
00:22:56,147.1999969,154,42
00:23:00,146.8000031,151,42
00:23:04,146.6000061,150,42
00:23:08,146.1999969,147,59
00:23:12,146.0,144,44
00:23:16,146.0,141,0
00:23:20,145.1999969,138,0
00:23:24,144.8000031,138,0
00:23:28,144.1999969,139,0
00:23:32,144.8000031,139,36
00:23:36,145.6000061,142,36
00:23:40,146.8000031,146,36
00:23:44,147.1999969,150,45
00:23:48,147.1999969,153,43
00:23:52,147.6000061,156,42
00:23:56,148.3999939,158,49
00:24:00,148.6000061,161,49
00:24:04,148.6000061,164,49
00:24:08,148.6000061,166,49
00:24:12,148.6000061,169,49
00:24:16,149.1999969,172,49
00:24:20,149.6000061,175,40
00:24:24,149.8000031,175,51
00:24:28,149.8000031,176,55
00:24:32,149.0,173,0
00:24:36,148.0,168,0
00:24:40,147.6000061,164,0
00:24:44,148.0,161,0
00:24:48,147.8000031,162,57
00:24:52,147.8000031,163,56
00:24:56,148.0,164,37
00:25:00,148.0,167,37
00:25:04,148.1999969,167,37
00:25:08,148.3999939,167,37
00:25:12,149.1999969,168,32
00:25:16,149.3999939,169,37
00:25:20,149.8000031,168,50
00:25:24,150.3999939,169,50
00:25:28,154.1999969,172,36
00:25:32,154.8000031,175,36
00:25:36,154.8000031,175,36
00:25:40,155.0,176,36
00:25:44,155.3999939,177,36
00:25:48,158.8000031,180,36
00:25:52,162.6000061,183,36
00:25:56,163.3999939,184,36
00:26:00,165.1999969,184,57
00:26:04,165.3999939,185,52
00:26:08,165.3999939,185,35
00:26:12,162.1999969,182,0
00:26:16,158.1999969,179,0
00:26:20,155.1999969,176,0
00:26:24,152.8000031,173,0
00:26:28,152.3999939,172,0
00:26:32,151.8000031,170,0
00:26:36,150.6000061,169,0
00:26:40,149.6000061,169,44
00:26:44,149.0,170,44
00:26:48,148.1999969,167,0
00:26:52,148.6000061,166,0
00:26:56,148.6000061,163,0
00:27:00,148.6000061,160,0
00:27:04,149.3999939,157,40
00:27:08,150.3999939,159,39
00:27:12,150.6000061,162,40
00:27:16,150.8000031,165,40
00:27:20,151.0,169,40
00:27:24,151.0,172,38
00:27:28,150.8000031,173,38
00:27:32,150.8000031,177,38
00:27:36,150.1999969,181,38
00:27:40,150.0,181,39
00:27:44,148.1999969,178,0
00:27:48,147.8000031,177,0
00:27:52,146.1999969,174,0
